Pais de Proveniencia|Aduana de Ingreso| Fecha de la Poliza|Partida Arancelaria|Modelo del Vehiculo|Marca|Linea|Centimetros Cubicos|Distintivo|Tipo de Vehiculo|Tipo de Importador|Tipo Combustible|Asientos|Puertas|Tonelaje|Valor CIF|Impuesto
ESTADOS UNIDOS|EL CARMEN|17/07/2019| 8704229000|1985|FORD|8000|10400|PESADO|CAMION|OCASIONAL|DIESEL|2|2|6|44241.6|5308.99|
JAPON|EL CARMEN|17/07/2019| 8703237900|2008|MAZDA|MAZDA3 i SPORT|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|10566.23|1267.95|
CANADA|PUERTO BARRIOS|17/07/2019| 8703236900|2016|TOYOTA|COROLLA L|1800|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|27614.12|3313.69|
COREA DEL SUR|PUERTO QUETZAL|17/07/2019| 8703326900|2006|KIA|SPORTAGE TLX|1991|LIVIANO|CAMIONETA|OCASIONAL|DIESEL|5|5|0|21224.47|2546.94|
BRASIL|EL CARMEN|17/07/2019| 8711209000|2017|HONDA|CRF150F|150|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|12529.65|1503.56|
JAPON|SANTO TOMAS DE CASTILLA|17/07/2019| 8703237900|2016|TOYOTA|RAV4 LE AWD|2500|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|51005.13|6120.62|
JAPON|TECUN UMAN|17/07/2019| 8703236900|2010|MAZDA|MAZDA3 i|2000|LIVIANO|AUTOMOVIL|OCASIONAL|GASOLINA|5|4|0|11770.07|1412.41|
JAPON|EL CARMEN|17/07/2019| 8703237900|2005|HONDA|CR-V 4WD SE|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|26223.88|3146.87|
CANADA|TECUN UMAN|17/07/2019| 8701200000|2002|INTERNATIONAL|9200i 6X4|12700|PESADO|CABEZAL|OCASIONAL|DIESEL|2|2|25|40792.7|4895.12|
JAPON|TECUN UMAN|17/07/2019| 8703237900|2002|HONDA|CR-V EX 4WD|2400|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|12329.82|1479.58|
ESTADOS UNIDOS|TECUN UMAN|17/07/2019| 8702108000|2009|BLUE BIRD|VISION|6700|PESADO|BUS|OCASIONAL|DIESEL|54|2|5|53061.18|6367.34|
JAPON|EL CARMEN|18/07/2019| 8703236900|2011|NISSAN|JUKE SV FWD|1600|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|32818.18|3938.18|
BRASIL|TECUN UMAN|18/07/2019| 8711209000|2017|YAMAHA|TT-R230|230|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|13610.35|1633.24|
JAPON|PUERTO BARRIOS|17/07/2019| 8703237900|1998|TOYOTA|4RUNNER 4WD|2700|LIVIANO|CAMIONETA|OCASIONAL|GASOLINA|5|4|0|29903.96|3588.48|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
CHINA|PUERTO QUETZAL|26/07/2019| 8711209000|2019|SUZUKI|GIXXERDXA|155|LIVIANO|MOTO|OCASIONAL|GASOLINA|2|0|0|425045.4|51005.45|
