"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","created2"
"111","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/yKZYSsMNNO",FALSE,2,NA,2020-09-02 20:29:11,TRUE,NA,"1301255875282300930",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 14:29:11
"112","Roatán, Honduras, #Nana inicia su ingreso a Costa Atlántica. A partir de las 13 horas se incrementan vientos en reg… https://t.co/zFk4T0qIpe",FALSE,3,NA,2020-09-02 20:24:06,TRUE,NA,"1301254596309004288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desastresgt",1,FALSE,FALSE,NA,NA,2020-09-02 14:24:06
"113","RT @leonel10gc: @soy_502 El 90% de motoristas son unos imprudentes animales, que no solo nunca respetan el #TraficoGt aparte de eso son una…",FALSE,0,NA,2020-09-02 20:19:12,FALSE,NA,"1301253363074502656",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CanelAristides",1,TRUE,FALSE,NA,NA,2020-09-02 14:19:12
"114","RT @EmixtraPablo: Triple colisión en plataforma del Km 18.7 ruta Interamericana, Obstaculizan un carril con sentido hacia la ciudad capital…",FALSE,0,NA,2020-09-02 20:18:53,FALSE,NA,"1301253284808798208",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",3,TRUE,FALSE,NA,NA,2020-09-02 14:18:53
"115","RT @express_foto: Se reporta accidente de @traficogt km 14 ruta al #Atlantico @vichoguate https://t.co/VGMq3jCjPK",FALSE,0,NA,2020-09-02 20:18:42,FALSE,NA,"1301253236721176576",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","traficogt",1,TRUE,FALSE,NA,NA,2020-09-02 14:18:42
"116","Se reporta accidente de @traficogt km 14 ruta al #Atlantico @vichoguate https://t.co/VGMq3jCjPK",FALSE,8,NA,2020-09-02 20:14:30,FALSE,NA,"1301252178456215552",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","express_foto",1,FALSE,FALSE,NA,NA,2020-09-02 14:14:30
"117","RT @amilcarmontejo: Triple colisión en Calzada Aguilar Batres zona 11, además motorista lesionada tras colisión en zona 10, reportan vehícu…",FALSE,0,NA,2020-09-02 20:14:21,FALSE,NA,"1301252140455940097",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Carlosh24269977",6,TRUE,FALSE,NA,NA,2020-09-02 14:14:21
"118","#TraficoGT  🚨🚨

1.  Colisión entre camión y patrulla de la PNC en el kilómetro 10 de la Ruta al Atlántico con direc… https://t.co/XwogCQzYwj",FALSE,1,NA,2020-09-02 20:05:36,TRUE,NA,"1301249939922710531",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","transdocnoticia",0,FALSE,FALSE,NA,NA,2020-09-02 14:05:36
"119","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/YM8MKnELKQ",FALSE,1,NA,2020-09-02 19:59:52,TRUE,NA,"1301248498864730112",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 13:59:52
"120","SEA. Expertos en vehículos. Todo a buen precio. Efectivo o Visacuotas-Credicuotas. WhatsApp 3056 8813. Centro Empre… https://t.co/S7M8FONdds",FALSE,1,NA,2020-09-02 19:58:26,TRUE,NA,"1301248137282097152",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","bien062011",0,FALSE,FALSE,NA,NA,2020-09-02 13:58:26
